CLIENTE,TAREA,SUBTAREA,PRIORIDAD,ESTADO
VETKIOSK,P5.0,Nivelación,BAJA,FINALIZADO
VETKIOSK,P5.0,Movilidad,BAJA,FINALIZADO
VETKIOSK,P5.0,Dosificación,BAJA,FINALIZADO
VETKIOSK,P5.0,Selector,BAJA,FINALIZADO
VETKIOSK,P5.0,Electrónico,BAJA,FINALIZADO
VETKIOSK,P4.1,Selector,BAJA,FINALIZADO
VETKIOSK,PROTOTIPOS INDOOR,Electrónico,BAJA,FINALIZADO
VETKIOSK,PROTOTIPOS INDOOR,Selector,BAJA,FINALIZADO
VETKIOSK,P4.2,Estructura principal,BAJA,FINALIZADO
VETKIOSK,P4.2,Movilidad,BAJA,FINALIZADO
VETKIOSK,P5 Maqueta,Revestimientos,BAJA,FINALIZADO
VETKIOSK,CODIFICACION,Reuniones,BAJA,FINALIZADO
VETKIOSK,P6 Maqueta,Dosificación,BAJA,FINALIZADO
VETKIOSK,CODIFICACION,Documentación,BAJA,FINALIZADO
VETKIOSK,P5 Maqueta,Selector,BAJA,FINALIZADO
VETKIOSK,P5.0,Estructura principal,BAJA,FINALIZADO
VETKIOSK,P5.0,Habitáculo,BAJA,FINALIZADO
VETKIOSK,P5.0,Reuniones,BAJA,FINALIZADO
VETKIOSK,P5 Maqueta,Reuniones,BAJA,FINALIZADO
VETKIOSK,P4.1,Estructura principal,BAJA,FINALIZADO
VETKIOSK,P5 Maqueta,Estructura principal,BAJA,FINALIZADO
VETKIOSK,P5 Maqueta,Dosificación,BAJA,FINALIZADO
VETKIOSK,REUNIONES,Reuniones,BAJA,FINALIZADO
VETKIOSK,P6 Maqueta,Selector,BAJA,FINALIZADO
VETKIOSK,P4.1,Reuniones,BAJA,FINALIZADO
VETKIOSK,P6 Maqueta,Revestimientos,BAJA,FINALIZADO
VETKIOSK,P4.1,Dosificación,BAJA,FINALIZADO
VETKIOSK,P6 Maqueta,Documentación,BAJA,FINALIZADO
VETKIOSK,P5 Maqueta,Documentación,BAJA,FINALIZADO
VETKIOSK,P6 Maqueta,Movilidad,BAJA,FINALIZADO
VETKIOSK,P6 Maqueta,Habitáculo,BAJA,FINALIZADO
VETKIOSK,P6 Maqueta,Electrónico,BAJA,FINALIZADO
VETKIOSK,P4 MVP,Dosificación,BAJA,FINALIZADO
VETKIOSK,P5 Maqueta,Electrónico,BAJA,FINALIZADO
VETKIOSK,P4 MVP,Anteproyecto,BAJA,FINALIZADO
VETKIOSK,P4 MVP,Reuniones,BAJA,FINALIZADO
VETKIOSK,P4.1,Revestimientos,BAJA,FINALIZADO
VETKIOSK,P4 MVP,Estructura principal,BAJA,FINALIZADO
VETKIOSK,P4 MVP,Revestimientos,BAJA,FINALIZADO
VETKIOSK,ACTIVIDADES DE EXPOS,Stand Río IV,BAJA,FINALIZADO
VETKIOSK,P4 MVP,Habitáculo,BAJA,FINALIZADO
VETKIOSK,P6 Maqueta,Stand Río IV,BAJA,FINALIZADO
VETKIOSK,DOCUMENTACIÓN,Documentación,BAJA,FINALIZADO
VETKIOSK,P6 Maqueta,Estructura principal,BAJA,FINALIZADO
VETKIOSK,P4 MVP,Electrónico,BAJA,FINALIZADO
VETKIOSK,P4 MVP,Movilidad,BAJA,FINALIZADO
VETKIOSK,P4 MVP,Documentación,BAJA,FINALIZADO
VETKIOSK,ACTIVIDADES DE EXPOS,Habitáculo,BAJA,FINALIZADO
VETKIOSK,PROTOTIPOS INDOOR,Dosificación,BAJA,FINALIZADO
VETKIOSK,P4.1,Habitáculo,BAJA,FINALIZADO
VETKIOSK,AD POUR ON,Anteproyecto,BAJA,FINALIZADO
VETKIOSK,PROTOTIPOS INDOOR,Estructura principal,BAJA,FINALIZADO
VETKIOSK,REVISIÓN DOCUMENTACIÓN TÉCNICA,,BAJA,FINALIZADO
