TAREAS,FECHA INICIO,FECHA DE FINAL,PRIORIDAD,ESTADO
CR 53422,3/3/22,7/12/2022,BAJA,FINALIZADO
New Heavy Range,4/3/22,31/12/2022,BAJA,FINALIZADO
EBS E-TLH6300,5/3/22,31/12/2022,BAJA,FINALIZADO
CR 56001,6/3/22,31/12/2022,BAJA,FINALIZADO
CR 55974,7/3/22,,BAJA,FINALIZADO
Suspensión Neumatica - E-TLH4400,8/3/22,30/12/2022,BAJA,FINALIZADO
CR 56030,9/3/22,30/06/2023,BAJA,FINALIZADO
CR 55970,10/3/22,,BAJA,PROCESO
CR 52143,11/3/22,,BAJA,PROCESO
PCO,13/3/22,,BAJA,PROCESO
EBS E-TLM4400,14/3/22,,BAJA,PROCESO
CR 53948,03/05/2022,27/05/2022,BAJA,FINALIZADO
Tector Nef4 11 Tn - Cabina MLL,02/05/2022,31/12/2022,BAJA,FINALIZADO
CR 56080,01/03/2022,30/11/2022,BAJA,FINALIZADO
CR 56143,,,BAJA,FINALIZADO
CR 56011,,,BAJA,FINALIZADO
Nef4 17 Tn - E-TLM4900,,,BAJA,FINALIZADO
CR 55707,,,BAJA,FINALIZADO
CR 55528,01/12/2022,01/03/2023,BAJA,FINALIZADO
CR 55411,,,BAJA,FINALIZADO
CR 55369,,,BAJA,FINALIZADO
CR 55665,,,BAJA,FINALIZADO
CPM,,,BAJA,PROCESO
EBS - HEAVY,01/01/2022,30/04/2022,BAJA,FINALIZADO
CR 55289,27/12/2021,26/08/2022,BAJA,FINALIZADO
Auxiliar de Gama Media,01/07/2022,31/12/2022,BAJA,FINALIZADO
CR 55135,14/06/2021,31/08/2022,BAJA,FINALIZADO
AUXILIAR DE PLATAFORMA,01/08/2022,31/12/2022,BAJA,FINALIZADO
AUXILIAR VA,02/08/2022,31/12/2022,BAJA,FINALIZADO
56456 - CHAPON RADIADOR RSU/6X4,27/07/2022,17/08/2022,BAJA,FINALIZADO
56706 - CUÑA SUSP. ANTERIOR,25/07/2022,24/08/2022,BAJA,FINALIZADO
CR 56075,20/06/2022,10/08/2022,BAJA,FINALIZADO
Auxiliar Gama Heavy,01/08/2022,31/12/2022,BAJA,FINALIZADO
AUXILIAR INGENIERIA DE PROCESOS,01/08/2022,31/12/2022,BAJA,FINALIZADO
CR 56307 - Eliminación soporte multivalvula,01/08/2022,31/08/2022,BAJA,FINALIZADO
CR 56082 - Tornillo traversa HI WAY,08/08/2022,31/10/2022,BAJA,FINALIZADO
CR56310,01/06/2022,30/11/2022,BAJA,FINALIZADO
CR 56374 - Unificación soporte tanque comb 15tn,12/08/2022,17/08/2022,BAJA,FINALIZADO
CR 56314 - UNIFICACION SOPORTE TANQUE AL.,09/08/2022,10/09/2022,BAJA,FINALIZADO
CR 56588 - Soporte y cable de potencia Heavy,18/08/2022,22/09/2022,BAJA,FINALIZADO
CR 56237 - TUERCA CASTILLO Y CHAVETA,01/08/2022,30/09/2022,BAJA,FINALIZADO
CR 56772 - Alternative screw correction in anterior axis,24/08/2022,30/09/2022,BAJA,FINALIZADO
CR 56756 - Tector 9 y 11 Tn,16/08/2022,04/10/2022,BAJA,FINALIZADO
CR 56789 Tuberia APU interferencia Cardan,19/08/2022,31/10/2022,BAJA,FINALIZADO
EURO VI LATAM HEAVY,29/08/2022,30/09/2022,BAJA,FINALIZADO
CR 56811 - Opt R24 - Hi Land E5,13/09/2022,30/12/2022,BAJA,FINALIZADO
CR 56808 - Third axle lifter - 6x2 Air suspension,13/09/2022,30/12/2022,BAJA,FINALIZADO
CR 56830 - Chasis sin necesidad,15/09/2022,30/12/2022,BAJA,FINALIZADO
CR 56854 - Hub mounting in V-tensioner (pneumatic suspension),20/09/2022,20/09/2022,BAJA,FINALIZADO
CR 56865 - Eliminación tecla antiniebla,20/09/2022,28/10/2022,BAJA,FINALIZADO
CR 56457 - RSU Allison soporte en motor de tuberia,20/09/2022,20/10/2022,BAJA,FINALIZADO
CR 56880 - Abrazaderas admisión de aire Tector NEF4,23/09/2022,11/11/2022,BAJA,FINALIZADO
CR 56776,19/09/2022,30/09/2022,BAJA,FINALIZADO
CR 56866,30/09/2022,01/12/2022,BAJA,FINALIZADO
CR 56780 - REFUERZOS CHASIS HEAVY,15/09/2022,30/11/2022,BAJA,FINALIZADO
CR 56906 -  MET fijacion de terminal,11/10/2022,28/10/2022,BAJA,FINALIZADO
CR 57004 - Interferencia estribo con reparo de agua,24/10/2022,30/12/2022,BAJA,FINALIZADO
CR 57000 - Etiqueta mantenimiento Tector GNC,18/10/2022,18/11/2022,BAJA,FINALIZADO
CR 57086 - Damaged cab front shock absorber,07/11/2022,03/03/2023,BAJA,FINALIZADO
CR 56334 - Eliminación serpentina compresor,27/10/2022,30/11/2022,BAJA,FINALIZADO
CR 56809 - Toma de aire Tector,07/11/2022,07/12/2022,BAJA,FINALIZADO
Bus GNC,16/11/2022,04/01/2023,BAJA,FINALIZADO
CR 57037 - Allison Transmission 6th Generation,25/10/2022,30/01/2023,BAJA,FINALIZADO
E-TLHCP00_RE_22_Y5X00003 ADM. CHANGE 2022,15/11/2022,31/12/2022,BAJA,FINALIZADO
CR 54710 - FATE DO TIRES,01/11/2022,31/01/2023,BAJA,FINALIZADO
CR 57039,21/11/2022,01/12/2022,BAJA,FINALIZADO
S WAY Localizacao TETO,07/11/2022,30/11/2022,BAJA,FINALIZADO
CR 57109 - Rotura grampa ballesta 15 TN,15/11/2022,31/01/2023,BAJA,FINALIZADO
CR 57208,28/11/2022,30/06/2023,BAJA,FINALIZADO
CR 56970 - Redesign MF4 and ELDOR support,19/12/2022,03/02/2023,BAJA,FINALIZADO
CR 57255 - Tapón sensor nivel aceite hi-road c9,28/12/2022,06/02/2023,BAJA,FINALIZADO
CR 55096,01/12/2022,28/02/2023,BAJA,FINALIZADO
NEW TECTOR,01/01/2023,31/12/2023,BAJA,FINALIZADO
CR 57254 - Ducto admisión motor,01/01/2023,31/05/2023,BAJA,FINALIZADO
CR 57100 - Phase out cable conexión remolque,02/01/2023,24/02/2023,BAJA,FINALIZADO
CR 57128 - Phase out cable Dx tector gnc,28/12/2022,20/02/2023,BAJA,FINALIZADO
CR - 57153,31/01/2023,30/04/2023,BAJA,FINALIZADO
CR 57394 - Cambio Radio Tector,02/02/2023,17/03/2023,BAJA,FINALIZADO
CR 57411,01/02/2023,01/04/2023,BAJA,FINALIZADO
CR 57406 - Buje bieleta barra estabilizadora S.Neu,06/02/2023,30/05/2023,BAJA,FINALIZADO
CR 57510 - Torque en racor motor C9,15/02/2023,15/04/2023,BAJA,FINALIZADO
CR 57570 - distancial alternador C13,02/03/2023,27/04/2023,BAJA,FINALIZADO
CR 57685 - PHASE OUT CAJA CURSOR,01/03/2023,30/07/2023,BAJA,FINALIZADO
CR 57516 Bolsa dotacion,01/03/2023,30/06/2023,BAJA,FINALIZADO
"CR 57614 Tuberia de direccion, cursor Hi-Land",01/03/2023,30/06/2023,BAJA,FINALIZADO
CR 57661 Analisis de tuberias de direccion unificadas,01/03/2023,31/08/2023,BAJA,FINALIZADO
CR 57658 Update design for poliamide tube,01/03/2023,30/04/2023,BAJA,FINALIZADO
CR 57747 - Unificación cubo de rueda BRA-ARG,01/04/2023,31/05/2023,BAJA,FINALIZADO
CR 57786 - Cambio de FT cable de masa Heavy,05/04/2023,12/05/2023,BAJA,FINALIZADO
CR 57044 - cables protección muffler trakker PERU,12/04/2023,10/05/2023,BAJA,FINALIZADO
CR 57042 - cables protección muffler,12/04/2023,24/05/2023,BAJA,FINALIZADO
CR 57853 - EBS support,14/04/2023,17/08/2023,BAJA,FINALIZADO
CR 57899 - Archetipo for ecu ECAS heavy,20/04/2023,31/05/2023,BAJA,FINALIZADO
PLANNING,25/04/2023,21/09/2023,BAJA,FINALIZADO
CR 56719,19/04/2023,19/10/2023,BAJA,FINALIZADO
